observableId	observableName	observableFormula	noiseFormula	noiseDistribution
IL6R_Active	IL6R_Active	IL6R_Active	sigma_log_shared	logNormal
pSTAT3_obs	pSTAT3_obs	pSTAT3_obs	sigma_log_shared	logNormal
STAT3d_active_obs	STAT3d_active_obs	STAT3d_active_obs	sigma_log_shared	logNormal
S3STAT3d_complex_obs	S3STAT3d_complex_obs	S3STAT3d_complex_obs	sigma_log_shared	logNormal
