observableId	simulationConditionId	time	measurement	preequilibrationConditionId
Free_IL6_obs	TH17	10.0	19.375791993472735	preeq_ss
pSMAD3_obs	TH17	10.0	93.26688455754837	preeq_ss
STAT3d_active_obs	TH17	10.0	49.74503503358928	preeq_ss
S3S4_complex_obs	TH17	10.0	45.71712358868436	preeq_ss
S3STAT3d_complex_obs	TH17	10.0	46.184662844760716	preeq_ss
PKA_active	TH17	10.0	39.93232412965358	preeq_ss
Free_TGFb_obs	TH17	15.0	1.0	preeq_ss
IL6R_Active	TH17	15.0	73.27492594410123	preeq_ss
Free_IL6_obs	TH17	15.0	19.324286312702316	preeq_ss
pSMAD3_obs	TH17	15.0	95.60206985500551	preeq_ss
STAT3d_active_obs	TH17	15.0	49.781004667671034	preeq_ss
S3S4_complex_obs	TH17	15.0	46.741935759220596	preeq_ss
S3STAT3d_complex_obs	TH17	15.0	47.07429427206089	preeq_ss
PKA_active	TH17	15.0	39.933635686572956	preeq_ss
Free_TGFb_obs	TH17	20.0	1.0	preeq_ss
IL6R_Active	TH17	20.0	73.32942948719706	preeq_ss
Free_IL6_obs	TH17	20.0	19.335932169455596	preeq_ss
pSMAD3_obs	TH17	20.0	96.94288468517688	preeq_ss
STAT3d_active_obs	TH17	20.0	49.80101540429692	preeq_ss
S3S4_complex_obs	TH17	20.0	47.27561783812084	preeq_ss
S3STAT3d_complex_obs	TH17	20.0	47.5377970687362	preeq_ss
PKA_active	TH17	20.0	39.934907602028986	preeq_ss
Free_TGFb_obs	TH17	25.0	1.0	preeq_ss
IL6R_Active	TH17	25.0	73.3292680652098	preeq_ss
Free_IL6_obs	TH17	25.0	19.338196207115466	preeq_ss
pSMAD3_obs	TH17	25.0	97.69981516638057	preeq_ss
STAT3d_active_obs	TH17	25.0	49.81232926774842	preeq_ss
S3S4_complex_obs	TH17	25.0	47.5529044813024	preeq_ss
S3STAT3d_complex_obs	TH17	25.0	47.779529081131855	preeq_ss
PKA_active	TH17	25.0	39.93572371571171	preeq_ss
Free_TGFb_obs	TH17	30.0	1.0	preeq_ss
IL6R_Active	TH17	30.0	73.32875392187334	preeq_ss
Free_IL6_obs	TH17	30.0	19.33844504970539	preeq_ss
pSMAD3_obs	TH17	30.0	98.12207251783282	preeq_ss
STAT3d_active_obs	TH17	30.0	49.818622910354854	preeq_ss
S3S4_complex_obs	TH17	30.0	47.69895150668808	preeq_ss
S3STAT3d_complex_obs	TH17	30.0	47.90718525584449	preeq_ss
PKA_active	TH17	30.0	39.936190401621054	preeq_ss
Free_TGFb_obs	TH17	35.0	1.0	preeq_ss
IL6R_Active	TH17	35.0	73.32867664689412	preeq_ss
Free_IL6_obs	TH17	35.0	19.338463824880197	preeq_ss
pSMAD3_obs	TH17	35.0	98.3559095331988	preeq_ss
STAT3d_active_obs	TH17	35.0	49.82209329714329	preeq_ss
S3S4_complex_obs	TH17	35.0	47.776987772964034	preeq_ss
S3STAT3d_complex_obs	TH17	35.0	47.97550362102328	preeq_ss
PKA_active	TH17	35.0	39.936446784419466	preeq_ss
Free_TGFb_obs	TH17	40.0	1.0	preeq_ss
IL6R_Active	TH17	40.0	73.32866913936077	preeq_ss
Free_IL6_obs	TH17	40.0	19.338464580910028	preeq_ss
pSMAD3_obs	TH17	40.0	98.48485172998349	preeq_ss
STAT3d_active_obs	TH17	40.0	49.824000454908926	preeq_ss
S3S4_complex_obs	TH17	40.0	47.819135559926586	preeq_ss
S3STAT3d_complex_obs	TH17	40.0	48.0124315954174	preeq_ss
PKA_active	TH17	40.0	39.936585911851424	preeq_ss
