observableId	simulationConditionId	time	measurement	preequilibrationConditionId
STAT3d_active_obs	TH17	10	37.393809	preeq_ss
S3S4_complex_obs	TH17	10	49.9406	preeq_ss
S3STAT3d_complex_obs	TH17	10	36.497144	preeq_ss
PKA_active	TH17	10	47.448801	preeq_ss
Free_TGFb_obs	TH17	15	0.99339595	preeq_ss
IL6R_Active	TH17	15	83.982231	preeq_ss
Free_IL6_obs	TH17	15	7.1337181	preeq_ss
pSMAD3_obs	TH17	15	93.699393	preeq_ss
STAT3d_active_obs	TH17	15	37.600568	preeq_ss
S3S4_complex_obs	TH17	15	50.293995	preeq_ss
S3STAT3d_complex_obs	TH17	15	37.069039	preeq_ss
PKA_active	TH17	15	47.974036	preeq_ss
Free_TGFb_obs	TH17	20	0.99533038	preeq_ss
IL6R_Active	TH17	20	84.348069	preeq_ss
Free_IL6_obs	TH17	20	7.084105	preeq_ss
pSMAD3_obs	TH17	20	94.820088	preeq_ss
STAT3d_active_obs	TH17	20	38.032987	preeq_ss
S3S4_complex_obs	TH17	20	49.54116	preeq_ss
S3STAT3d_complex_obs	TH17	20	37.459247	preeq_ss
PKA_active	TH17	20	47.855617	preeq_ss
Free_TGFb_obs	TH17	25	0.99702121	preeq_ss
IL6R_Active	TH17	25	83.828827	preeq_ss
Free_IL6_obs	TH17	25	7.1202838	preeq_ss
pSMAD3_obs	TH17	25	95.172418	preeq_ss
STAT3d_active_obs	TH17	25	38.113229	preeq_ss
S3S4_complex_obs	TH17	25	49.977208	preeq_ss
S3STAT3d_complex_obs	TH17	25	37.888377	preeq_ss
PKA_active	TH17	25	47.742047	preeq_ss
Free_TGFb_obs	TH17	30	0.99488318	preeq_ss
IL6R_Active	TH17	30	84.51302	preeq_ss
Free_IL6_obs	TH17	30	7.1255413	preeq_ss
pSMAD3_obs	TH17	30	96.321212	preeq_ss
STAT3d_active_obs	TH17	30	38.414675	preeq_ss
S3S4_complex_obs	TH17	30	50.061202	preeq_ss
S3STAT3d_complex_obs	TH17	30	38.050755	preeq_ss
PKA_active	TH17	30	47.516063	preeq_ss
Free_TGFb_obs	TH17	35	0.99679391	preeq_ss
IL6R_Active	TH17	35	84.04703	preeq_ss
Free_IL6_obs	TH17	35	7.1038479	preeq_ss
pSMAD3_obs	TH17	35	95.158244	preeq_ss
STAT3d_active_obs	TH17	35	38.551917	preeq_ss
S3S4_complex_obs	TH17	35	49.91638	preeq_ss
S3STAT3d_complex_obs	TH17	35	37.667077	preeq_ss
PKA_active	TH17	35	47.55719	preeq_ss
Free_TGFb_obs	TH17	40	1.0015563	preeq_ss
IL6R_Active	TH17	40	84.791898	preeq_ss
Free_IL6_obs	TH17	40	7.1891232	preeq_ss
pSMAD3_obs	TH17	40	97.321301	preeq_ss
STAT3d_active_obs	TH17	40	38.67422	preeq_ss
S3S4_complex_obs	TH17	40	49.725032	preeq_ss
S3STAT3d_complex_obs	TH17	40	37.700073	preeq_ss
PKA_active	TH17	40	47.863217	preeq_ss
