observableId	observableName	observableFormula	noiseFormula	noiseDistribution
Free_TGFb_obs	Free_TGFb_obs	Free_TGFb_obs	sigma_log_shared	logNormal
IL6R_Active	IL6R_Active	IL6R_Active	sigma_log_shared	logNormal
Free_IL6_obs	Free_IL6_obs	Free_IL6_obs	sigma_log_shared	logNormal
pSMAD3_obs	pSMAD3_obs	pSMAD3_obs	sigma_log_shared	logNormal
STAT3d_active_obs	STAT3d_active_obs	STAT3d_active_obs	sigma_log_shared	logNormal
S3S4_complex_obs	S3S4_complex_obs	S3S4_complex_obs	sigma_log_shared	logNormal
S3STAT3d_complex_obs	S3STAT3d_complex_obs	S3STAT3d_complex_obs	sigma_log_shared	logNormal
PKA_active	PKA_active	PKA_active	sigma_log_shared	logNormal
